FECHA,TONELADAS DISPUESTAS,ACUMULADO,LUGAR DE ORIGEN,LUGAR DE DISPOSICIÓN
03/18/2024 12:00:00 AM,7.31,328.79,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/19/2024 12:00:00 AM,3.85,332.64,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/20/2024 12:00:00 AM,5.72,338.36,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/22/2024 12:00:00 AM,8.49,346.85,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/22/2024 12:00:00 AM,5.38,352.23,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/25/2024 12:00:00 AM,6.72,358.95,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/27/2024 12:00:00 AM,7.72,366.67,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/30/2024 12:00:00 AM,6.89,373.56,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/01/2024 12:00:00 AM,8.37,381.93,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/02/2024 12:00:00 AM,7.7,389.63,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/03/2024 12:00:00 AM,5.17,394.8,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/05/2024 12:00:00 AM,8.48,403.28,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/06/2024 12:00:00 AM,4,407.28,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/08/2024 12:00:00 AM,7.22,414.5,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/09/2024 12:00:00 AM,4.72,419.22,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/12/2024 12:00:00 AM,8.22,427.44,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/13/2024 12:00:00 AM,4.43,431.87,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/15/2024 12:00:00 AM,7.67,439.54,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/16/2024 12:00:00 AM,3.86,443.4,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/17/2024 12:00:00 AM,6.34,449.74,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/19/2024 12:00:00 AM,8.29,458.03,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/20/2024 12:00:00 AM,5.68,463.71,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/22/2024 12:00:00 AM,6.88,470.59,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/23/2024 12:00:00 AM,4.28,474.87,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/26/2024 12:00:00 AM,7.89,482.76,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/27/2024 12:00:00 AM,6.08,488.84,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/29/2024 12:00:00 AM,7.47,496.31,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
04/30/2024 12:00:00 AM,7.03,503.34,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
