TIPO,NOMBRE,SECTOR,CODCUE,CUENCA,CODSCUE,SUBCUENCA,CODMCUE,MICROCUENCA,VOLUMEN,OBSERVACION,IDTABINV,CODHIDRO,OBJECTID,AMBIENTEHidrografia_CAguAREA
603,Laguna Pantano Grande 2,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609488,333,12435.12310923
603,Laguna de Bocagrande,RURAL,3502,Río Guayuriba,350218,Río Pontezuela,,ND,,,,,334,20374.80254617
603,Laguna 4 Sector R. Curubital,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609498,335,807.75799023
603,Laguna de La Lajita 4,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200607,Río Chisacá,,,,21200607215,336,59764.65326786
601,Río Blanco,RURAL,3502,Río Guayuriba,350243,Río Blanco y Directos,,ND,,,,,337,167086.95543028
603,Laguna 1 Sector Santa Barbara,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604273,338,271.03096681
603,Lago Club Los Arrayanes 2,RURAL DC,2120,Río Bogotá,212022,Torca,21202202,Conejera,,,,21202202006,339,5096.30820545
603,Laguna,RURAL,3506,Río Guavio,350618,Río Rucio,,ND,,,,,340,39585.80546939
603,Laguna Chigaito,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200607,Río Chisacá,,,,21200607504,341,4454.53608081
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,342,1678.26523857
603,Laguna,RURAL,3503,Río Guatiquía,350306,Quebrada Blanca,,ND,,,,,343,5122.1908791
603,Laguna 1 Sector Q. Waterloo,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200607,Río Chisacá,,,,21200607509,344,314.91733627
603,Laguna 2 Sector La Regadera,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604278,345,951.71857446
602,Canal,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,346,668.69061053
603,Laguna,RURAL,3506,Río Guavio,350610,Río Chorrera,,ND,,,,,347,7973.02146952
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,348,3281.14751433
603,Laguna,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,349,26152.45541539
603,Laguna 3 Sector Q. Aguadulce,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200610,Quebrada de Fucha,,,,21200610113,350,200.51563994
603,Lago Club El Rancho 9,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,351,4842.45385333
603,Lago Club El Rancho 6,RURAL DC,2120,Río Bogotá,212022,Torca,21202203,Canal Torca,,,,21202203010,352,1769.26905702
603,Laguna,RURAL,3502,Río Guayuriba,350217,Río Santa Rosa,,ND,,,,,353,3849.72705782
603,Laguna,RURAL,2119,Río Sumapaz,,ND,,ND,,,,,354,1901.28438241
603,Laguna,RURAL,3503,Río Guatiquía,350305,Río Guajaro,,ND,,,,,355,5847.97819132
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,356,480.56668734
