FID;CODIGO_ID;COMPONENTE;CATEGORIA;ELEMENTO;AREA_AMBIE;NOMBRE_TOT;ACTO_ADMIN;NORMATIVA;OBSERVACIO;ACOTAMIENT;FECHA_CAPT;RESPONSABL;REGLAID;Shape_Leng;Shape_Area
1139;9327;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Honda;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;377,5875842;7336,94917
1140;9328;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Honda;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;1047,031571;25947,3482
1141;9369;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Jamaica;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;537,9327745;12671,54026
1142;9370;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Jamaica;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;614,5969721;13652,08748
1143;9371;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. Jamaica;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;867,2605988;24227,97215
1144;9416;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Floresta;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;644,9275215;16232,28514
1145;9417;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Floresta;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;1675,349783;46808,44428
1146;9418;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Floresta;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;87,87753166;227,7344711
1147;9419;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Floresta;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;2895,768737;81627,344
1148;9445;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Miel;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;1782,925191;50416,09682
1149;9446;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Miel;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;2562,225751;73594,673
1150;9447;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Miel;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;7762,437512;241125,8747
1151;9448;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Miel;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;4105,335857;118636,9824
1152;9449;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Ríos quebradas y sus rondas;Drenaje Q. La Miel;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Drenaje;Ronda Hídrica (Estimada);1,64E+12;544;1;3734,365898;110904,3145
